epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.105,1.79964,4.02638,2.08741,0.21481,0.13772,0.13653,0.06465,2.108,4.02227,2.5159,0.000327957,0.000327957,0.000327957
2,603.961,1.86749,3.21205,2.15605,0.24436,0.18713,0.05744,0.02613,2.54604,4.84475,3.04991,0.000654744,0.000654744,0.000654744
3,839.912,2.03696,3.1984,2.31284,0.72328,0.04439,0.02885,0.00936,2.97481,4.98111,3.39604,0.00097493,0.00097493,0.00097493
4,1078.71,2.0243,3.23136,2.32123,0.21543,0.13651,0.04161,0.01569,2.68132,6.66089,3.00599,0.0009703,0.0009703,0.0009703
5,1333.19,2.02666,3.17833,2.33589,0.06969,0.10538,0.03717,0.01637,2.57711,5.22779,2.93832,0.0009604,0.0009604,0.0009604
6,1579.62,1.96572,3.23221,2.27753,0.953,0.09333,0.14729,0.06129,2.57622,3.9779,2.80484,0.0009505,0.0009505,0.0009505
7,1834.01,1.96994,3.09491,2.27117,0.44227,0.13353,0.08397,0.03338,2.49286,3.69328,2.80153,0.0009406,0.0009406,0.0009406
8,2074.09,1.90067,3.09817,2.23196,0.18793,0.26575,0.18216,0.10178,2.21905,3.32716,2.56198,0.0009307,0.0009307,0.0009307
9,2268.51,1.85326,3.0109,2.19196,0.38863,0.23611,0.19607,0.11106,2.17837,3.75708,2.48412,0.0009208,0.0009208,0.0009208
10,2480.66,1.85777,2.96608,2.17044,0.48187,0.3435,0.32682,0.17933,2.10383,3.1842,2.44824,0.0009109,0.0009109,0.0009109
11,2694.47,1.80101,2.8811,2.14109,0.33467,0.23587,0.2205,0.12776,2.20185,4.19929,2.44503,0.000901,0.000901,0.000901
12,2933.52,1.82948,2.91856,2.14561,0.87156,0.24608,0.3346,0.19716,2.02838,3.0212,2.39344,0.0008911,0.0008911,0.0008911
13,3170.73,1.79391,2.87224,2.16183,0.38805,0.33561,0.26061,0.1664,2.09967,3.80237,2.48349,0.0008812,0.0008812,0.0008812
14,3372.4,1.79114,2.82063,2.1109,0.86888,0.28961,0.35912,0.19715,1.93297,2.87107,2.28598,0.0008713,0.0008713,0.0008713
15,3562.84,1.71371,2.71493,2.08531,0.5226,0.29047,0.27811,0.16792,2.08055,3.11887,2.41125,0.0008614,0.0008614,0.0008614
16,3760.7,1.70369,2.67827,2.06551,0.56247,0.35177,0.34275,0.20215,1.97907,2.80054,2.27132,0.0008515,0.0008515,0.0008515
17,3950.54,1.69243,2.63071,2.03148,0.53468,0.42198,0.38464,0.23962,1.89983,2.74453,2.23102,0.0008416,0.0008416,0.0008416
18,4132.97,1.6289,2.54158,1.99844,0.36226,0.35548,0.36351,0.23835,1.88896,2.67551,2.22761,0.0008317,0.0008317,0.0008317
