epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9777,1.70608,3.56238,1.91559,0.18546,0.21158,0.1513,0.06929,2.2507,11.1144,2.33237,0.0003,0.0003,0.0003
2,78.9694,1.78064,3.00673,1.91724,0.01126,0.07569,0.00644,0.00256,2.75885,21.2525,3.20194,0.00058987,0.00058987,0.00058987
3,125.007,1.8765,2.89681,1.99034,0.44023,0.19609,0.16422,0.06573,2.7127,8.00214,4.02623,0.00085928,0.00085928,0.00085928
4,183.513,1.84632,2.85912,1.97575,0.06744,0.17586,0.05348,0.02773,2.68731,13.6634,3.4504,0.000901,0.000901,0.000901
5,216.546,1.85762,2.85284,1.99203,0.05499,0.16869,0.03723,0.01066,2.61984,7.94563,2.97165,0.000868,0.000868,0.000868
6,258.582,1.82089,2.74215,1.96937,0.51766,0.04444,0.01483,0.00519,3.02676,11.0593,4.01574,0.000835,0.000835,0.000835
7,338.624,1.7352,2.65004,1.90071,0.34394,0.29362,0.22289,0.14569,2.13591,4.46238,2.40357,0.000802,0.000802,0.000802
8,376.557,1.73319,2.64497,1.91421,0.23312,0.28194,0.23324,0.13742,2.2146,3.57104,2.3447,0.000769,0.000769,0.000769
9,414.261,1.70032,2.51482,1.83147,0.38052,0.21919,0.24547,0.15061,2.243,3.85593,2.32629,0.000736,0.000736,0.000736
10,455.299,1.64074,2.42795,1.80192,0.47415,0.34239,0.31736,0.21904,1.93008,3.47501,2.02676,0.000703,0.000703,0.000703
11,498.865,1.60175,2.36724,1.7942,0.3488,0.36091,0.34448,0.22955,1.95045,2.82587,1.99848,0.00067,0.00067,0.00067
12,537.585,1.59315,2.33404,1.77914,0.43574,0.41235,0.39199,0.27049,1.85977,2.73915,1.99586,0.000637,0.000637,0.000637
13,575.579,1.55175,2.28384,1.74398,0.34151,0.44113,0.38867,0.27091,1.9306,2.69007,2.03709,0.000604,0.000604,0.000604
14,610.426,1.54497,2.26764,1.72968,0.77152,0.38692,0.44022,0.32702,1.80499,2.46624,1.94895,0.000571,0.000571,0.000571
15,653.971,1.51044,2.21229,1.71174,0.50348,0.45694,0.45713,0.32786,1.81665,2.4686,1.9967,0.000538,0.000538,0.000538
16,695.729,1.50144,2.12952,1.68961,0.47571,0.43398,0.46946,0.34886,1.72166,2.3544,1.87981,0.000505,0.000505,0.000505
17,734.799,1.44044,2.06379,1.65119,0.42444,0.44882,0.42174,0.30351,1.71403,2.3871,1.87417,0.000472,0.000472,0.000472
18,770.166,1.41236,2.02288,1.63666,0.49868,0.44355,0.47385,0.36034,1.69108,2.27166,1.83947,0.000439,0.000439,0.000439
19,803.855,1.37091,1.95854,1.59093,0.41336,0.48283,0.44605,0.33689,1.6834,2.51368,1.82763,0.000406,0.000406,0.000406
20,840.202,1.37038,1.91885,1.57928,0.44333,0.4699,0.4545,0.33516,1.66524,2.27905,1.79307,0.000373,0.000373,0.000373
21,949.364,1.39855,2.02001,1.64135,0.42534,0.41815,0.44427,0.33421,1.71067,2.54768,1.87033,0.00034,0.00034,0.00034
22,977.695,1.37642,1.8814,1.64632,0.39926,0.44652,0.40633,0.30699,1.66178,2.38129,1.83361,0.000307,0.000307,0.000307
23,1008.24,1.32853,1.76517,1.63102,0.61078,0.45938,0.48494,0.36898,1.59585,2.28845,1.78535,0.000274,0.000274,0.000274
24,1034.6,1.29068,1.71587,1.56617,0.5146,0.46707,0.48686,0.36028,1.61364,2.23842,1.75967,0.000241,0.000241,0.000241
25,1058.11,1.26414,1.68408,1.5472,0.52969,0.4875,0.4927,0.37068,1.63149,2.20117,1.75222,0.000208,0.000208,0.000208
26,1092.48,1.22521,1.61122,1.51949,0.56253,0.46624,0.4998,0.37081,1.66098,2.14064,1.78834,0.000175,0.000175,0.000175
27,1129.04,1.21936,1.56202,1.52772,0.62214,0.46514,0.5032,0.37531,1.69407,2.28114,1.86065,0.000142,0.000142,0.000142
28,1154.16,1.1764,1.47957,1.47976,0.58459,0.49206,0.5075,0.38855,1.60733,2.17971,1.78451,0.000109,0.000109,0.000109
29,1177.49,1.14232,1.42752,1.44694,0.57456,0.49396,0.50586,0.38735,1.57334,2.14002,1.75447,7.6e-05,7.6e-05,7.6e-05
30,1202.77,1.13706,1.40369,1.44964,0.5817,0.46708,0.49669,0.37809,1.57846,2.17905,1.75463,4.3e-05,4.3e-05,4.3e-05
