epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.232,1.93348,3.91932,3.18294,2.22507,0.06267,0.11886,0.03781,0.01356,0.05658,0.13475,0.03799,0.01399,2.53685,5.21419,14.3363,3.09765,0.0806276,0.000599148,0.000599148
2,484.384,1.9534,3.85002,3.1582,2.28761,0.35692,0.2319,0.18002,0.08251,0.36237,0.22457,0.17274,0.0711,2.26134,4.33286,4.02321,2.77582,0.0612275,0.00119906,0.00119906
3,720.429,1.85628,3.70492,3.00559,2.19049,0.41381,0.24631,0.28953,0.16134,0.40032,0.24348,0.2795,0.16052,2.07457,4.1001,3.43142,2.44438,0.041827,0.00179861,0.00179861
4,955.055,1.78042,3.59761,2.88096,2.1169,0.4974,0.29475,0.29146,0.16457,0.50722,0.29098,0.28845,0.16629,1.92315,3.75563,2.97012,2.35877,0.0224259,0.00239752,0.00239752
5,1189.28,1.72971,3.44884,2.73696,2.04949,0.71698,0.23549,0.30865,0.17375,0.72394,0.23684,0.303,0.17118,1.95772,3.77676,3.06372,2.36991,0.00302394,0.00299553,0.00299553
6,1422.44,1.67064,3.3599,2.67116,2.01308,0.59166,0.36757,0.37328,0.22107,0.5959,0.37066,0.3679,0.22844,1.81552,3.35666,2.65826,2.23794,0.00299435,0.00299435,0.00299435
7,1654.76,1.65208,3.31442,2.61622,1.9934,0.6185,0.40699,0.41315,0.27096,0.6207,0.41718,0.41327,0.27304,1.70362,3.20653,2.47142,2.11436,0.00299187,0.00299187,0.00299187
8,1887.34,1.5835,3.16624,2.45864,1.91666,0.44158,0.42347,0.41915,0.2599,0.43471,0.42744,0.4123,0.26286,1.73068,3.15142,2.46475,2.13122,0.00298893,0.00298893,0.00298893
9,2118.9,1.56707,3.13103,2.42388,1.90124,0.37596,0.4675,0.4412,0.28703,0.40148,0.46464,0.43029,0.28576,1.6845,3.09363,2.47074,2.12669,0.00298555,0.00298555,0.00298555
10,2351.23,1.51192,3.04082,2.34018,1.85686,0.49041,0.4873,0.46448,0.30388,0.49782,0.47853,0.45244,0.29961,1.64611,2.91849,2.19438,2.01508,0.00298172,0.00298172,0.00298172
11,2583.64,1.49188,2.95689,2.28441,1.82861,0.57941,0.46456,0.479,0.32328,0.63873,0.45402,0.47306,0.32326,1.60428,2.91615,2.24424,1.99486,0.00297744,0.00297744,0.00297744
12,2816.09,1.47,2.95361,2.24943,1.81431,0.63826,0.42049,0.45394,0.314,0.63758,0.42198,0.4485,0.31831,1.64706,3.07147,2.31953,2.05708,0.00297272,0.00297272,0.00297272
13,3048.48,1.45445,2.8864,2.18191,1.79305,0.49786,0.49535,0.49442,0.34624,0.50858,0.49732,0.49134,0.3483,1.60587,2.88316,2.18146,1.99354,0.00296755,0.00296755,0.00296755
14,3280.85,1.46677,2.86603,2.19117,1.80876,0.54123,0.47353,0.47505,0.32235,0.55361,0.47621,0.47008,0.32309,1.64211,2.95088,2.23682,2.0635,0.00296194,0.00296194,0.00296194
15,3513.4,1.45168,2.89162,2.16068,1.79508,0.63327,0.49957,0.49824,0.35218,0.64077,0.48323,0.49382,0.35227,1.59641,2.89189,2.1708,2.00047,0.00295589,0.00295589,0.00295589
16,3746.18,1.42094,2.82688,2.11336,1.771,0.52863,0.52604,0.52373,0.37921,0.54076,0.52524,0.51806,0.37827,1.52164,2.74754,2.0493,1.91235,0.0029494,0.0029494,0.0029494
17,3978.26,1.40925,2.84569,2.12035,1.75797,0.53984,0.52856,0.52482,0.37798,0.53545,0.52617,0.51772,0.3722,1.51166,2.79812,2.10206,1.92462,0.00294247,0.00294247,0.00294247
18,4210.95,1.39261,2.77845,2.06204,1.73999,0.61332,0.53122,0.55868,0.39263,0.62171,0.53206,0.55671,0.39014,1.4954,2.71314,1.94386,1.89285,0.00293511,0.00293511,0.00293511
