epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.252,0.77145,1.48486,0.72638,1.20016,0.7463,0.70285,0.73879,0.57452,0.75144,0.69103,0.72728,0.55509,1.28436,2.37317,1.28029,1.70528,0.0504705,0.000399432,0.000399432
2,667.246,0.65466,1.22724,0.51821,1.09034,0.75062,0.7026,0.73755,0.58065,0.76191,0.69015,0.72956,0.55628,1.24157,2.35741,1.27117,1.68806,0.000869912,0.000798889,0.000798889
3,961.531,0.61371,1.16711,0.47838,1.06092,0.72183,0.72178,0.73309,0.57599,0.72299,0.71573,0.72484,0.55108,1.26973,2.35939,1.32826,1.7156,0.000797831,0.000797831,0.000797831
4,1258.43,0.60632,1.14261,0.46127,1.062,0.76194,0.70275,0.73675,0.57859,0.75699,0.70281,0.73013,0.55486,1.26017,2.41884,1.31756,1.70885,0.000795125,0.000795125,0.000795125
5,1554.64,0.60887,1.14678,0.45345,1.05639,0.78517,0.70485,0.74824,0.58587,0.77702,0.69984,0.73483,0.56299,1.26295,2.3531,1.26191,1.69214,0.000791346,0.000791346,0.000791346
6,1849.06,0.60036,1.13682,0.45141,1.05335,0.7835,0.70234,0.73918,0.57619,0.76764,0.70437,0.7266,0.55381,1.25995,2.44007,1.31131,1.70074,0.000786507,0.000786507,0.000786507
7,2132.18,0.59766,1.13027,0.44726,1.04524,0.77186,0.70387,0.73232,0.57751,0.76462,0.70533,0.72387,0.5571,1.27547,2.50451,1.30073,1.73345,0.000780618,0.000780618,0.000780618
8,2413.26,0.58486,1.1262,0.43236,1.03493,0.74584,0.71295,0.73212,0.57601,0.74379,0.71094,0.71937,0.5518,1.23937,2.4159,1.30401,1.68674,0.000773698,0.000773698,0.000773698
9,2694.36,0.58416,1.10616,0.43294,1.03952,0.77023,0.68888,0.72483,0.56742,0.76904,0.68894,0.71244,0.54435,1.2687,2.4915,1.33251,1.74705,0.000765764,0.000765764,0.000765764
10,2974.85,0.57681,1.10199,0.42663,1.03504,0.76807,0.69762,0.73569,0.58045,0.7628,0.70037,0.72612,0.55554,1.2798,2.4454,1.30689,1.74374,0.000756839,0.000756839,0.000756839
11,3255.24,0.57299,1.09633,0.42004,1.03385,0.78727,0.70062,0.74348,0.58853,0.78963,0.69679,0.73886,0.5626,1.28514,2.51093,1.29164,1.75067,0.000746946,0.000746946,0.000746946
12,3538.08,0.55717,1.07757,0.40173,1.01818,0.78823,0.68242,0.72632,0.57586,0.79479,0.68362,0.72018,0.5582,1.29205,2.4835,1.33289,1.75661,0.000736114,0.000736114,0.000736114
13,3819.49,0.55807,1.07356,0.40415,1.01917,0.77172,0.70598,0.74161,0.58348,0.77456,0.6953,0.72933,0.55747,1.27649,2.52479,1.27955,1.75993,0.000724371,0.000724371,0.000724371
14,4100.27,0.56595,1.08061,0.40892,1.01901,0.76961,0.70238,0.73561,0.57505,0.76365,0.69884,0.72457,0.55415,1.31133,2.54089,1.34413,1.82616,0.00071175,0.00071175,0.00071175
15,4378.66,0.54441,1.05484,0.39483,1.00586,0.77431,0.69829,0.73682,0.57738,0.77978,0.68737,0.7205,0.55433,1.28436,2.51987,1.28991,1.79152,0.000698285,0.000698285,0.000698285
16,4656.9,0.53656,1.04911,0.38392,1.00268,0.76212,0.70946,0.74002,0.58051,0.75576,0.70418,0.72233,0.5508,1.2918,2.48242,1.26412,1.79772,0.000684014,0.000684014,0.000684014
17,4933.55,0.54135,1.05064,0.39359,1.00727,0.74357,0.71674,0.7315,0.57592,0.73716,0.70867,0.71701,0.55338,1.28486,2.5577,1.32681,1.77889,0.000668976,0.000668976,0.000668976
18,5211.62,0.52881,1.03367,0.37922,0.99752,0.77857,0.70373,0.74023,0.58662,0.76715,0.69716,0.72519,0.56195,1.30227,2.57029,1.30196,1.79581,0.000653211,0.000653211,0.000653211
19,5489.14,0.52982,1.036,0.37715,0.99721,0.78902,0.69724,0.74075,0.58873,0.78525,0.69065,0.72442,0.5568,1.29382,2.52694,1.32019,1.80679,0.000636763,0.000636763,0.000636763
20,5766.24,0.52575,1.02621,0.37202,0.98802,0.77298,0.691,0.73407,0.57642,0.76296,0.692,0.72234,0.55172,1.28574,2.55755,1.32368,1.80386,0.000619677,0.000619677,0.000619677
21,6042.83,0.53352,1.0269,0.37967,1.00166,0.77333,0.70874,0.746,0.58518,0.76297,0.70924,0.73778,0.56379,1.29249,2.5688,1.33046,1.79998,0.000602,0.000602,0.000602
22,6319.78,0.50443,0.99886,0.35316,0.9724,0.80487,0.68166,0.73369,0.5827,0.75709,0.70867,0.72908,0.55861,1.27384,2.60784,1.34318,1.80686,0.00058378,0.00058378,0.00058378
23,6597.08,0.49395,0.98508,0.34651,0.97003,0.7694,0.70731,0.74437,0.58503,0.76418,0.7042,0.73097,0.5623,1.29044,2.61352,1.28671,1.83526,0.000565068,0.000565068,0.000565068
24,6873.83,0.49401,0.99268,0.34797,0.97666,0.79847,0.69072,0.73645,0.58159,0.78828,0.68617,0.72074,0.55799,1.28736,2.63184,1.32873,1.82491,0.000545914,0.000545914,0.000545914
25,7151.96,0.48958,0.96916,0.34062,0.96552,0.79137,0.68696,0.74315,0.58665,0.78188,0.68463,0.72616,0.56484,1.28599,2.63395,1.32281,1.83159,0.000526371,0.000526371,0.000526371
26,7429.72,0.47894,0.95724,0.33317,0.96047,0.762,0.71046,0.74441,0.5839,0.75613,0.70533,0.72942,0.56301,1.28231,2.65399,1.2914,1.84135,0.000506492,0.000506492,0.000506492
27,7706.41,0.47239,0.95034,0.32599,0.95455,0.78968,0.67923,0.73776,0.58095,0.79216,0.67529,0.72503,0.56083,1.31121,2.70928,1.34503,1.88527,0.000486333,0.000486333,0.000486333
28,7983.25,0.47674,0.94831,0.32811,0.95834,0.78785,0.6927,0.73503,0.58211,0.7816,0.68856,0.72098,0.55904,1.27639,2.71456,1.32677,1.83897,0.000465948,0.000465948,0.000465948
29,8260.89,0.47402,0.94533,0.3259,0.95483,0.78953,0.69254,0.73699,0.58343,0.79629,0.67714,0.7229,0.56062,1.27971,2.69441,1.29226,1.84265,0.000445393,0.000445393,0.000445393
30,8537.55,0.45907,0.93009,0.32193,0.94397,0.78236,0.69628,0.74033,0.59002,0.7779,0.69195,0.73057,0.5651,1.28695,2.69437,1.28572,1.84985,0.000424725,0.000424725,0.000424725
31,8815.15,0.46305,0.92429,0.31399,0.94581,0.78114,0.70329,0.74096,0.59254,0.79712,0.69425,0.73419,0.5674,1.2887,2.69823,1.31592,1.8721,0.000404,0.000404,0.000404
32,9092.77,0.44656,0.90585,0.30838,0.93617,0.78252,0.70003,0.74014,0.58744,0.78543,0.69719,0.73056,0.56404,1.29172,2.71845,1.33335,1.87377,0.000383275,0.000383275,0.000383275
33,9369.6,0.4418,0.90377,0.30622,0.93255,0.76606,0.71054,0.74278,0.59271,0.76388,0.71628,0.73466,0.5668,1.27223,2.7537,1.3187,1.84776,0.000362607,0.000362607,0.000362607
34,9646.63,0.43506,0.89041,0.29173,0.92677,0.77798,0.71572,0.74465,0.59251,0.782,0.70648,0.7363,0.57048,1.27604,2.70489,1.30192,1.85578,0.000342052,0.000342052,0.000342052
35,9923.23,0.43113,0.88806,0.29895,0.92641,0.79962,0.70834,0.75035,0.59553,0.7807,0.70438,0.7336,0.56574,1.26983,2.67014,1.28724,1.85965,0.000321667,0.000321667,0.000321667
36,10199.8,0.42688,0.88153,0.29295,0.92551,0.78925,0.70229,0.7428,0.58976,0.77513,0.70631,0.73352,0.56605,1.27015,2.75642,1.2761,1.85958,0.000301508,0.000301508,0.000301508
