epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.199,0.64647,1.28778,0.67999,1.10016,0.77464,0.69178,0.7305,0.56749,0.77074,0.68161,0.71839,0.55064,1.28901,2.60539,1.31891,1.82744,0.000541477,0.000399432,0.000399432
2,617.777,0.47321,0.94798,0.38799,0.95583,0.78325,0.70093,0.73604,0.56935,0.77844,0.69492,0.72561,0.5526,1.30767,2.6632,1.30249,1.87114,0.000397562,0.000397562,0.000397562
3,906.453,0.44393,0.89987,0.34563,0.93541,0.78174,0.70636,0.73164,0.57256,0.77768,0.70336,0.7269,0.55133,1.2924,2.75849,1.31962,1.84855,0.000390309,0.000390309,0.000390309
4,1195.71,0.42359,0.87628,0.32342,0.92717,0.80314,0.70205,0.74153,0.58262,0.78491,0.70187,0.72682,0.55966,1.28032,2.76041,1.32361,1.83199,0.000378419,0.000378419,0.000378419
5,1471.59,0.41065,0.84892,0.30712,0.91337,0.78782,0.70946,0.7438,0.58545,0.78575,0.70941,0.73439,0.55999,1.2663,2.73574,1.29283,1.83812,0.000362185,0.000362185,0.000362185
6,1746.65,0.40494,0.84054,0.30084,0.90819,0.79694,0.70393,0.74254,0.5846,0.78364,0.70399,0.72969,0.5602,1.27904,2.76235,1.32992,1.86716,0.000342007,0.000342007,0.000342007
7,2023.27,0.39565,0.82688,0.29449,0.90538,0.76655,0.71777,0.74544,0.58798,0.77631,0.70567,0.7341,0.56423,1.27166,2.76433,1.32716,1.85043,0.000318381,0.000318381,0.000318381
8,2298.92,0.38485,0.81221,0.28173,0.89635,0.77899,0.71047,0.73343,0.58114,0.79177,0.69871,0.72676,0.55952,1.2691,2.82634,1.36311,1.8579,0.00029189,0.00029189,0.00029189
9,2574.34,0.37754,0.79786,0.27415,0.8944,0.78773,0.70219,0.7435,0.58617,0.79318,0.6946,0.73385,0.56244,1.26897,2.84433,1.34625,1.86987,0.000263185,0.000263185,0.000263185
10,2849.25,0.36799,0.79019,0.26736,0.89093,0.79249,0.69703,0.73393,0.583,0.80852,0.69158,0.73183,0.55904,1.26957,2.8307,1.368,1.86525,0.000232974,0.000232974,0.000232974
11,3124.46,0.36872,0.78751,0.26746,0.88849,0.78468,0.71468,0.73873,0.587,0.7817,0.71085,0.73023,0.5592,1.27137,2.89814,1.35882,1.87768,0.000202,0.000202,0.000202
12,3402.42,0.35474,0.77188,0.25705,0.88152,0.81612,0.68749,0.748,0.59103,0.81146,0.68417,0.73506,0.56695,1.26691,2.89978,1.34185,1.87493,0.000171026,0.000171026,0.000171026
13,3678.12,0.35061,0.76345,0.25313,0.87742,0.78043,0.72088,0.74611,0.59312,0.77667,0.71687,0.73751,0.56727,1.26426,2.92236,1.3411,1.88258,0.000140815,0.000140815,0.000140815
14,3954.34,0.3473,0.75551,0.25164,0.87384,0.81467,0.69634,0.74577,0.59422,0.80447,0.69203,0.73154,0.5675,1.26879,2.89656,1.35874,1.87849,0.00011211,0.00011211,0.00011211
15,4229.91,0.33965,0.75029,0.24574,0.86996,0.78512,0.72086,0.74668,0.59358,0.78262,0.71832,0.74027,0.56821,1.25627,2.9136,1.36196,1.87044,8.56185e-05,8.56185e-05,8.56185e-05
16,4504.32,0.33312,0.7404,0.24247,0.8665,0.80226,0.70326,0.75187,0.59656,0.7963,0.69814,0.74109,0.57239,1.26589,2.9537,1.3608,1.88624,6.19929e-05,6.19929e-05,6.19929e-05
17,4780.52,0.33244,0.73934,0.24122,0.86807,0.8095,0.70558,0.75218,0.59779,0.80504,0.70205,0.74041,0.57259,1.26566,2.92928,1.34456,1.89048,4.18146e-05,4.18146e-05,4.18146e-05
18,5055.69,0.33085,0.7334,0.24117,0.86431,0.79963,0.70828,0.75204,0.59725,0.79701,0.70272,0.73992,0.57169,1.26477,2.95114,1.35626,1.8892,2.55807e-05,2.55807e-05,2.55807e-05
19,5331.03,0.33093,0.7332,0.24146,0.86625,0.81103,0.69862,0.75106,0.5963,0.80861,0.69882,0.74229,0.57093,1.26669,2.95933,1.33731,1.89957,1.36908e-05,1.36908e-05,1.36908e-05
20,5605.81,0.32418,0.73097,0.23846,0.86039,0.78949,0.71208,0.75132,0.59655,0.78717,0.70896,0.74245,0.57222,1.26698,2.96081,1.33461,1.89606,6.43771e-06,6.43771e-06,6.43771e-06
