epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.627,0.89574,1.63064,1.39979,1.15627,0.31215,0.51793,0.29944,0.16869,0.30533,0.50231,0.28339,0.13936,1.54066,2.84019,1.71977,1.94382,0.0504347,0.000299187,0.000299187
2,425.472,0.67249,1.21731,1.1128,0.99224,0.38494,0.48334,0.36222,0.2129,0.37715,0.47491,0.35576,0.17078,1.53057,2.6201,1.70286,1.91634,0.000734282,0.000598781,0.000598781
3,629.652,0.61486,1.1395,1.04805,0.96033,0.3951,0.43071,0.34316,0.19521,0.37759,0.41367,0.3222,0.1585,1.52852,2.85773,1.72795,1.93864,0.000598373,0.000598373,0.000598373
4,835.157,0.60257,1.1245,1.02565,0.94743,0.42918,0.44023,0.34119,0.19764,0.43119,0.44205,0.33121,0.15938,1.54642,2.81861,1.71425,1.97123,0.000596343,0.000596343,0.000596343
5,1041.76,0.59093,1.08101,1.01108,0.94593,0.35824,0.49754,0.348,0.20226,0.34507,0.4805,0.32625,0.16535,1.5121,2.80897,1.73665,1.92162,0.00059351,0.00059351,0.00059351
6,1246.6,0.56969,1.05987,0.99918,0.93129,0.35694,0.50397,0.35709,0.20413,0.37108,0.47723,0.34243,0.16763,1.55091,2.87634,1.73762,1.96577,0.00058988,0.00058988,0.00058988
7,1449.86,0.56464,1.04069,0.98435,0.93456,0.34786,0.52411,0.35112,0.20462,0.34669,0.52177,0.33087,0.16395,1.52159,2.88908,1.69378,1.93956,0.000585464,0.000585464,0.000585464
8,1654.89,0.5708,1.05669,0.98095,0.93335,0.36857,0.49246,0.36409,0.20979,0.35475,0.44876,0.3454,0.16465,1.54247,2.90301,1.71724,1.94803,0.000580273,0.000580273,0.000580273
9,1859.88,0.55764,1.02932,0.97631,0.92136,0.3812,0.48108,0.36627,0.20934,0.39692,0.4588,0.35268,0.17146,1.55681,3.03109,1.74593,1.95736,0.000574323,0.000574323,0.000574323
10,2063.85,0.54972,1.02983,0.96033,0.91465,0.42104,0.4445,0.35175,0.19786,0.38744,0.44968,0.32868,0.15863,1.58078,3.06947,1.69108,2.05374,0.000567629,0.000567629,0.000567629
11,2269.06,0.53557,1.02283,0.95114,0.90635,0.39847,0.42762,0.36428,0.21147,0.37556,0.46061,0.34499,0.1648,1.56837,3.03066,1.7071,2.02862,0.00056021,0.00056021,0.00056021
12,2474.05,0.53934,1.00116,0.95092,0.9109,0.42456,0.3967,0.36396,0.2138,0.41312,0.40273,0.34149,0.16762,1.56393,3.06711,1.7663,2.01681,0.000552085,0.000552085,0.000552085
13,2678.22,0.52876,0.99097,0.94094,0.90716,0.42709,0.4282,0.39316,0.21858,0.36768,0.49862,0.37324,0.17225,1.59651,3.00681,1.74535,2.0605,0.000543278,0.000543278,0.000543278
14,2883.43,0.52223,0.98153,0.9345,0.9023,0.47318,0.43931,0.40667,0.22534,0.43264,0.44683,0.38183,0.18497,1.55794,3.0793,1.74323,2.03644,0.000533812,0.000533812,0.000533812
15,3087.97,0.51529,0.97512,0.93221,0.89993,0.4104,0.48877,0.39266,0.23247,0.42309,0.45561,0.36565,0.17868,1.53015,3.00755,1.75293,2.00052,0.000523714,0.000523714,0.000523714
16,3292.67,0.50329,0.95137,0.92121,0.88943,0.34948,0.48484,0.35557,0.20552,0.35023,0.49568,0.34068,0.16828,1.54527,3.01519,1.75432,2.0587,0.000513011,0.000513011,0.000513011
17,3497.59,0.4924,0.94304,0.92158,0.88553,0.45258,0.42478,0.38834,0.2257,0.43059,0.42979,0.37398,0.18591,1.5354,3.03993,1.67422,2.01797,0.000501732,0.000501732,0.000501732
18,3702.41,0.47855,0.9298,0.90145,0.87948,0.40282,0.44717,0.38167,0.22027,0.41836,0.42261,0.3603,0.17822,1.51574,3.14439,1.72299,2.00629,0.000489908,0.000489908,0.000489908
19,3907.1,0.47875,0.92876,0.89634,0.88232,0.44316,0.44734,0.37251,0.22003,0.44833,0.42261,0.35368,0.18435,1.51418,3.17297,1.71887,2.03979,0.000477572,0.000477572,0.000477572
